Product_ID,URL,Title,Product Description,Price,Cellar,ABV,Closure,Image URL
14,https://www.nicks.com.au/products/2023-all-saints-estate-durif,2023 All Saints Estate Durif,"Rich, concentrated and muscular.

Dense pitch black heart with an equally deep dark red black hue. Ripe black cherry, liquorice and dark to black plum fruits intermix with toasty vanillin cedar, earth and blackpepper. Rich, concentrated and muscular, black cherry, liquorice and black plum fruits overlay prominent toasty vanillin oak and peppered earth elements. Robust, tightly wound tannin structure with a chewy medium to long black fruited finish.
Drink over the next 5-6 years.
Alc. 14.5%",$26.99,DRINK NOW - 6 YEARS (2025-2031),14.50%,STELVIN,https://media.nicks.com.au/products/ca29e2bf/2023-all-saints-estate-durif.jpg
15,https://www.nicks.com.au/products/2018-all-saints-estate-shiraz-durif,2018 All Saints Estate Shiraz Durif,"A Rutherglen blend that’s bold, rich and thick.

Matured for 48 months in a mix of 90% French and 10% American oak of which 30% was new. Impenetrable inky black heart with a very deep dark red black hue. Intense ripe morello cherry, black cherry and liquorice aromas mix with vanillin oak, scorched earth, pepper and old leather notes. Bold, rich and thick in it’s feel across the full bodied palate, concentrated black cherry, liquorice and dark plum fruits meld into a spicy vanillin oak, scorched earth, leather and pepper back drop. Ripe, slightly chewy tannins with a long opulent finish that’s complexed by emerging tertiary elements.
Drink over the next 2-3 years.
Alc. 14.9%",$24.99,DRINK NOW - 3 YEARS (2025-2028),14.90%,STELVIN,https://media.nicks.com.au/products/df3cdf69/2018-all-saints-estate-shiraz-durif.jpg
16,https://www.nicks.com.au/products/2024-all-saints-estate-sangiovese-cabernet,2024 All Saints Estate Sangiovese Cabernet,"A ripe, fleshy Sangiovese blend that has a spice laden finish.

Dark red core with black tinged edges and a dark red hue. Aromas of ripe red currant intermix with cherry and red liquorice followed by hints of dried herbs, faint cedary tobacco and spice notes. Ripe and fleshy, the mid weighted palate features generous red currant and cherry flavours over red liquorice, dried herb, delicate tobacco and spicy earth characters. Polished tannins with a juicy conclusion that’s laden with spice.
Drink over the next 2-3 years.
Alc. 14%",$24.99,DRINK NOW - 3 YEARS (2025-2028),14%,STELVIN,https://media.nicks.com.au/products/bacd9599/2024-all-saints-estate-sangiovese-cabernet.jpg
17,https://www.nicks.com.au/products/2023-allevare-sangiovese,2023 Allevare Sangiovese,"Matured in French oak hogsheads, 25% new, for a period of 10 months. Dark red core with black tinged edges and a dark red hue. Nosing offers up dark cherry, red currant, earth, hints of red liquorice and spicy dried herb aromas. Rich and juicy the mid weighted palate is flooded with black cherry and liquorice fruits which meld into a vanillin cedar, earth and spicy tobacco back drop. Grainy tannins lend firmness. Concludes long, ripe and spicy.
Drink over the next 3-4 years.
Alc. 14%",$27.99,DRINK NOW - 4 YEARS (2024-2028),14%,STELVIN,https://media.nicks.com.au/products/e8d388ca/alle-vare.jpg
18,https://www.nicks.com.au/products/2022-angas-and-bremer-shiraz,2022 Angas & Bremer Shiraz,"Plump and opulent with a long succulent conclusion.

Dense inky black colour with a deep dark red black tinged hue. Liquorice, ripe blackberry and dark chocolate scents waft from the glass followed by vanillin oak, earthy mocha and spice notes. Rich and plush, the full bodied palate is awash with ripe blackberry, liquorice and choc mint flavours. Spicy vanillin oak, subtle earthy mocha and peppered fennel characters sit in the background. Plump and opulent it has velvety tannins and a long succulent conclusion.
Drink over the next 4-5 years.
Alc. 14.8%

Other Reviews…..
Langhorne Creek Shiraz – the very mention screams flavour and value and we have both here. Coming from such a good vintage helps, of course. An inky dark maroon, we have rich and ripe chocolate notes as part of a wonderful plushness. Blackberries, mocha, bay leaves, licorice and a hint of blueberries lurking in the background, with a burly earthiness. Serious length here and sleek tannins. This has a ten to fifteen year future. Great buying. Drink 2025-2040.
93 Points
Ken Gargett – WinePilot.com",$19.99,DRINK NOW - 5 YEARS (2025-2030),14.80%,STELVIN,https://media.nicks.com.au/products/0273856b/2022-angas-and-bremer-shiraz.jpg
19,https://www.nicks.com.au/products/2020-angove-the-medhyk-shiraz,2020 Angove The Medhyk Shiraz,"Rich, plush and seductive yet refined.

Produced from 55 year old vines with maturation taking place in a combination of old and new French oak for a period of 17 months. Dense inky black in colour with a deep dark red black tinged hue. Ripe blackberry and liquorice aromas leap out of the glass followed by some dark plum, toasty vanillin cedar and peppered earth notes. Rich and plush yet not overly heavy across the palate, seductive blackberry, liquorice and dark plum fruits are intermeshed with vanillin cedar, subtle earth and pepper elements. Velvet smooth tannins with a long, opulent yet refined finish.
Drink over the next 6-8 years.
Alc. 14.5%

Other Reviews…..
From three estate sites, Willunga on black clay, the loam of the Warboys Vineyard and 1940s vines in Blewitt Springs; 17 months in new and seasoned French oak. This is lusciously rich, supple and textured, with cascading blackberry, loganberry and dark plum fruits, salted licorice, bitter chocolate, preserved black cherry and toasty oak notes. It’s keenly crafted, with balance and enough tension, though it’s certainly sitting at the fuller end of the spectrum. Drink by 2034.
94 Points
Marcus Ellis – James Halliday’s Australian Wine Companion",$59.99,DRINK NOW - 8 YEARS (2025-2033),14.50%,STELVIN,https://media.nicks.com.au/products/a69de901/2020-angove-the-medhyk-shiraz.jpg
20,https://www.nicks.com.au/products/2022-angove-family-crest-grenache-shiraz-mourvedre,2022 Angove Family Crest Grenache Shiraz Mourvedre,"Deep dark red core with black shaded edges and a red to dark red hue. Aromas of dark raspberry, plum and liquorice mix with vanillin earth like notes and spicy dried herbs. Soft, fleshy and juicy, the mid weighted palate is richly fruited with dark raspberry, liquorice and plum. Vanillin spice and peppered earth elements are also evident. Silky smooth tannins finishing long and plush.
Drink over the next 3-4 years.
Alc. 14.5%",$19.99,DRINK NOW - 4 YEARS (2024-2028),14.50%,STELVIN,https://media.nicks.com.au/products/118913cd/2022-angove-family-crest-gsm.jpg
21,https://www.nicks.com.au/products/2021-angove-family-crest-shiraz,2021 Angove Family Crest Shiraz,"Produced from fruit grown in several old-vine vineyards across McLaren Vale, spanning from Blewitt Springs and Seaview in the North to Willunga and Sellicks Hill in the South. The fruit is picked early in the morning and crushed into open-top concrete vats for fermentation with indigenous yeast. After fermentation is complete, the wine is gently pressed into French oak barrels where it matures for 12-14 months.

Midnight black core with a deep dark red black tinged hue. Pronounced aromas of liquorice and blackberry fill the nostrils with some vanillin oak, scorched earth and pepper notes also evident. Rich and opulent the full bodied palate is swamped with blackberry, liquorice and dark plum fruits which carry a plush feel. Spicy vanillin oak, earth and pepper elements sit in the background. Velvet smooth tannins concluding long, ripe and fleshy.
Drink over the next 5-6 years.
Alc. 14.5%

Other Reviews…..
From a range of sites of varied geology, this was fermented in open concrete vats with indigenous yeasts; élevage in French oak puncheons and hogsheads. From a cool year, there’s notable elegance to this, though the fruits are both red and black – dark cherry and plum, blackberry, raspberry – accented with a tarry, charry note, master stock spices, mint, cacao nibs and cracked earth and iron-like mineral notes. It over-delivers at this tariff. Drink by 2031.
92 Points
Marcus Ellis – James Halliday’s Australian Wine Companion",$19.99,DRINK NOW - 6 YEARS (2024-2030),14.50%,STELVIN,https://media.nicks.com.au/products/488360ef/2021-angove-shiraz.jpg
22,https://www.nicks.com.au/products/2022-angove-family-crest-tempranillo,2022 Angove Family Crest Tempranillo,"Deep black dark red colour with a dark red hue. Elevated ripe dark to black cherry and liquorice aromas drift through the olfactory senses followed by some dried herb, scorched earth and spice notes. Rich and bold the weighty palate is awash with dark to black cherry and liquorice fruits which meld into an earth, vanillin cedar and spice back drop. Robust tannin structure finishing ripe and sturdy.
Cellar 4-5 years.
Alc. 14.5%",$19.99,4 - 5 YEARS (2027-2028),14.50%,STELVIN,https://media.nicks.com.au/products/7bb3d859/2022-angove-tempranillo.jpg
23,https://www.nicks.com.au/products/2019-angove-the-medhyk-shiraz,2019 Angove The Medhyk Shiraz,"From vines 55 year old matured in a combination of old and new French oak for 16 months. Midnight black in colour with a deep black dark red hue. Expressive blackberry, liquorice and dark plum aromas sail out of the glass followed by some vanillin cedar, subtle scorched earth and peppered fennel notes. Rich and powerful the expansive palate is flooded with a tsunami of blackberry, liquorice and dark plum fruits which extend right through to an exceptionally long finish. Plush yet structured with sturdy tannins sculpting the framework. Delicately smoked vanillin cedar, scorched earth, fennel and pepper characters linger through the decadently fruited blockbuster conclusion. An outstanding McLaren Vale Shiraz.
Drink over the next 8-10 years.
Alc. 14.5%

Other Reviews….
The concentration of fruit in this 2019 The Medhyk Shiraz is evident from the very first sniff. It is pungent with raspberries, blackberries, salted licorice, star anise, pink peppercorns, char, tea, blood and even sun-dried tomatoes. In the mouth, the wine is exactly this. It's a wonderful, delicious, complex wine with hutzpah and balance in equal measure. Drink it or cellar it—your call. Drink 2022-2037.
95 Points
Erin Larkin – Robert Parker’s The Wine Advocate",$59.99,DRINK NOW - 8 YEARS (2023-2031),14.50%,STELVIN,https://media.nicks.com.au/products/911ca07f/2019-angove-the-medhyk-shiraz.jpg
24,https://www.nicks.com.au/products/2019-angove-warboys-vineyard-shiraz,2019 Angove Warboys Vineyard Shiraz,"Certified organic and biodynamic with maturation taking place in older French oak puncheons. Dense black as night colour with a deep dark red black tinged hue. Pronounced ripe blackberry, dark plum and liquorice aromas sail out of the glass with vanillin oak, hints of mocha and spice also present. Rich, concentrated and plush, the palate is laden with silky textured blackberry, liquorice and dark plum fruits. Lying in the background is nicely integrated vanillin oak, subtle earthy mocha characters and spice. Exceptionally polished with velvet smooth tannins it carries great opulence and has a long seductive finish.
Drink over the next 5-6 years.
Alc. 14.5%

Other Reviews....
The Warboys vineyard is organic and certified biodynamic and is planted adjacent to the cellar door in McLaren Vale. The fruit for the 2019 Warboys Shiraz was handpicked, wild fermented with a combination of whole berries and whole bunches, then matured in new and seasoned French oak for 14 months. On the nose, this is layered with deli meats and salted licorice, coffee grounds, purple berries and exotic spice. In the mouth, the wine is supple, fresh and concentrated: a dangerous combination for Shiraz lovers. Wines like this rarely get their chance to age. Lovely. Good. Yes. Drink 2022-2037.
95 points
Erin Larkin - Robert Parker's The Wine Advocate",$51.99,DRINK NOW - 6 YEARS (2022-2028),14.50%,STELVIN,https://media.nicks.com.au/products/2f65bbbe/2019-angove-warboys-vineyard-shiraz.jpg
25,https://www.nicks.com.au/products/2016-antinori-pian-delle-vigne-vignaferrova-riserva-brunello-di-montalcino,2016 Antinori Pian Delle Vigne Vignaferrova Riserva Brunello di Montalcino,"Totally opaque black dark red in colour with a dark red brick red tinged hue. Blossoming from the glass with wonderful intensity are enticing aromas of spicy red to dark currants, red cherries, dried herbs, earth, tobacco, traces of vanillin cedar and hints of leather. Rich red currant and dark cherry fruits infused with a mix of tobacco and dried herbs are underpinned by vibrant acidity which lends terrific freshness. Vanillin cedar, earthy leather and spice characters add further personality. Taut sturdy mouth feel with a robust tannin structure. Concludes firm, rustic and spicy.
Cellar 8-10 years.
Alc. 14.5%

Other Reviews….
Wonderful aromas of dried orange peel, tangerines, dark cherries and flowers follow through to a full body with firm, chewy tannins that are polished and balanced. It’s extremely long and beautiful at the end. A little shy, but shows so much potential for aging. Try after 2024.
96 Points
JamesSuckling.com",$240.0,8 - 10 YEARS (2031-2033),14.50%,CORK,https://media.nicks.com.au/products/98599a78/2016-antinori-pian-delle-vigne-riserva-brunello-di-montalcino.jpg
26,https://www.nicks.com.au/products/2019-antonio-madeira-a-palhevia,2019 Antonio Madeira A Palheira,"Deep black dark red colour with a dark red hue. Emanating from the glass are earthy black cherry and liquorice aromas followed by hints of leather, dried meats and pepper. Mid weighted and carrying a sense of elegance the palate features dark cherry, blueberry and liquorice fruits over vanillin earth, leather and peppered dried meat elements. Fine grained tannins with a savoury finish.
Drink over the next 5-6 years.
Alc. 13.5%",$89.99,DRINK NOW - 6 YEARS (2023-2029),13.50%,CORK,https://media.nicks.com.au/products/05ab9568/2019-dao-a-palheira-red.jpg
27,https://www.nicks.com.au/products/2020-antonio-madeira-tinto,2020 Antonio Madeira Tinto,"Deep midnight black core with a dark red black tinged hue. Pronounced black and morello cherry aromas intermix with liquorice, earthy dried herbs and pepper. Rich spicy black and morello cherry as well as liquorice fruits are backed by a stern grippy tannins. Dried herb, earth and pepper elements also chime in on the dryish finish. Firm muscular yet fresh feel with a long robust aftertaste.
Cellar 5-6 years.
Alc. 14%",$49.99,5 - 6 YEARS (2028-2029),14%,CORK,https://media.nicks.com.au/products/9e478c70/2020-antonio-madeira-tinto.jpg
28,https://www.nicks.com.au/products/2022-aprentis-of-devotus-single-vineyard-pinot-noir,2022 Aprentis of Devotus Single Vineyard Pinot Noir,"Sourced from 16 year old vines with 10% whole bunch inclusion and maturation in seasoned French oak barriques for a period of 10 months. Dark red core with black tinged edges and a red to dark red hue. Spicy aromas of dark cherries and wild strawberry intermix with graphite, dried herb, forest floor and dried meat notes. Generously fruited yet restrained in its feel, tightly wound flavours of dark to black cherry and strawberry are framed by graphite like tannins. Some earth, dried herb, smoked meat and spice characters ensue. Bright acidity with a long structured finish.
Drink over the next 5-6 years.
Alc. 13%",$76.99,DRINK NOW - 6 YEARS (2024-2030),13%,STELVIN,https://media.nicks.com.au/products/d6593085/2022-aprentis-of-devotus-single-vineyard-pinot-noir.jpg
29,https://www.nicks.com.au/products/2023-apsley-gorge-vineyard-pinot-noir,2023 Apsley Gorge Vineyard Pinot Noir,"A funky Tassie Pinot that has a meaty feel and a fresh, savoury finish.

Established in 1988 this tiny vineyard is planted to Pinot Noir (5.5 hectares) and Chardonnay (1 hectare) and is located several kilometres inland from the coast near the entrance to the Apsley Gorge national Park north-west of Bicheno. The vineyards unique situation near the entry to the gorge brings breezes in the afternoon which have a distinct cooling effect which means this vineyard is typically one of the last to harvest in Tasmania with harvest usually being around the first week of May.
Since 1999 winemaking has been undertaken by owner Brian Franklin who also does vintage each year in Burgundy with Philippe Charlopin (himself mentored by his friend Henri Jayer) in Gevrey Chambertin, and is helped here in Tasmania by young French winemakers including Philippe Charlopin’s son Yann.
Aged in a combination of new and two year old French oak barrels. Red to dark red core with black shaded edges and a vibrant red hue. Funky yet intense nose with red to dark cherry and strawberry aromas infused with a mix of smoky graphite and dried herb notes followed by some earthy rhubarb and spicy stalk scents. Light to medium bodied, the palate has a meaty flavour profile of cherries, strawberries, earthy graphite, dried herbs, smoked meats and spice. Fine grained tannins concluding fresh and savoury with a meaty feel.
Drink over the next 5-6 years.
Alc. 13.5%",$69.99,Drink now - 6 Years (2025-2031),13.50%,Stelvin,https://media.nicks.com.au/products/5fe32c69/2023-apsley-gorge-vineyard-pinot-noir.jpg
30,https://www.nicks.com.au/products/2022-aramis-the-bastion-shiraz,2022 Aramis The Bastion Shiraz,"Rich, voluptuous and weighty with a velvety yet robust tannin structure.

Impenetrable inky black colour with a very deep dark red black hue. Intense liquorice and ripe black cherry scents engulf the nostrils followed by some vanillin oak, whiffs of mocha and peppered earth notes. Rich voluptuous liquorice and ripe black cherry fruits saturate the weighty palate. Vanillin oak, fennel, mocha and peppered earth elements sit in the background. Velvety yet robust tannin structure concluding long, lavishly textured and sumptuous.
Drink over the next 5-6 years.
Alc. 14.5%

Other Reviews……
The estate’s flagship Shiraz, from their own vineyards in McLaren Vale, this is impressive drinking. Deep magenta in colour, the wine reveals good intensity right from the kick-off. The aromas weave through notes of cloves, vegemite, dark chocolate, cold tea, dried herbs, mulberries and hints of a dusty road. A wine of real intensity, but one which is well balanced and with drive. The oak integration has been competently handled and there is a lingering finish. Enjoy this over the next ten to twelve years. Drink 2025-2037.
93 Points
Ken Gargett – WinePilot.com",$27.99,DRINK NOW - 6 YEARS (2025-2031),14.50%,STELVIN,https://media.nicks.com.au/products/71f879de/aramis-vineyards-the-bastion-shiraz.jpg
31,https://www.nicks.com.au/products/2023-arfion-spring-pinot-noir,2023 Arfion Spring Pinot Noir,"Semi translucent dark red colour with black toned edges and a light red hue. Perfumed aromas of violet, strawberry, anise and clove blossom from the glass followed by hints of forest floor and spice. Delicious red cherry, blueberry and strawberry fruits carry a fresh juicy feel with some inky earth, anise, infusions of fresh herbs and spice scattered across the back half. Vibrant acidity and polished tannins with a savoury red fruited finish.
Drink over the next 2-3 years.
Alc. 13%",$29.99,DRINK NOW - 3 YEARS (2024-2027),13%,STELVIN,https://media.nicks.com.au/products/e07f1514/2023-arfion-spring-pinot.jpg
32,https://www.nicks.com.au/products/2021-argiano-solengo,2021 Argiano Solengo,"This Super Tuscan was first produced in 1985 and is made from a blend of Cabernet Sauvignon, Petit Verdot, Merlot and Sangiovese grapes with maturation taking place in French oak barriques (60% new) for a period of 18 months.
Dense pitch black core with a deep dark red black hue. Alluring aromas of blackcurrant, dark cherry and subtle liquorice infiltrate the olfactory senses complimented by hints of tobacco, vanillin cedar, dried herb and spicy earth notes. Rich and concentrated yet polished and refined the palate is flooded with fleshy blackcurrant, dark cherry and liquorice fruits which are framed by firm, muscular yet integrated tannins. Vanillin cedar, earthy tobacco, dried herb, black olive and spice elements lurk underneath. Outstanding in its power, it finishes very long and deeply fruited with a robust feel.
Drink over the next 6-8 years.
Alc. 14.5%

Other Reviews…..
Fascinating aromas of blackcurrants, orange peel, stone, minerals and blanched walnuts follow through to a medium to full body with firm and polished tannins that deliver a pleasant, caressing mouthfeel. But it requires more bottle age, as expected. This needs two or three years to show more, but it’s already very pretty. Drink after 2026.
95 Points
JamesSuckling.com

This is very Cabernet, with its black currant, blackberry, violet, cedar and sandalwood notes uplifted by vibrant acidity and energetic tannins. Youthful and even a bit awkward now, yet the mineral-infused aftertaste goes on and on. Shows excellent overall balance and detail. Cabernet Sauvignon, Petit Verdot, Merlot and Sangiovese. Best from 2028 through 2042. 
95 points
Wine Spectator",$160.0,DRINK NOW - 8 YEARS (2024-2032),14.50%,CORK,https://media.nicks.com.au/products/5c97ee29/2021-argiano-solengo.jpg
